kachestvo,kollection,plotnost_po_utku,pletenie,berdo
AC,IMPERIAL,440,1/2,400
AH,ALADDIN_NEW,400,1/2,320
AX,IMPERATOR,600,1/2,400
BM,SHAGGY,350,1/2,160
BW,MAROKAND,400,1/2,400
CC,MADONNA,260,1/2,320
DB,TROYA NEW,500,1/1,480
DN,ALMIRA,260,1/2,320
DP,IRAN,860,1/2,700
DR,IMPERATOR AFGAN,600,1/2,400
DU,ZARA,380,1/2,320
EC,ROCOCO,460,1/2,400
EE,NOSTALJI,320,1/2,320
EF,PLAZA,500,1/1,400
EG,SHAGGY LAMA.,250,1/2,160
EH,ZARA KAHVE,380,1/2,320
EN,SUPER BAHOR,640,1/2,400
FB,SUPER ISTANBUL,500,1/2,400
FE,ORZU,650,1/2,400
FG,SUPER ABRISHAM.,650,1/2,400
FH,SHOH SULTON,780,1/1,480
FI,SUPER HAQEQ,500,1/2,400
FL,SUPER MADONNA,260,1/2,320
FM,KIRAZ,440,1/2,400
FN,KEHRIBAR,350,1/2,320
FQ,TEBRIZ,650,1/2,400
FT,ISFAHAN,1200,1/2,1200
FY,DIADORA,440,1/2,400
GC,SAMARKAND,550,1/1,400
GD,ARAB,440,1/2,400
GE,PIRAMIT,360,1/2,400
GG,BABY,320,1/2,400
GH,XUROSON,440,1/2,400
GI,ASIL ABRISHAM,500,1/2,400
GK,MASHHAD,1000,1/2,1000
GL,SUPER MADONNA.,250,1/2,320
GM,DINARA,440,1/2,400
GN,SHOXJAHON,780,1/1,480
GO,TAJMAHAL,550,1/1,400
GQ,BALI,400,1/2,320
GS,SHIRVANSHAX,420,1/2,400
GT,PARIS,380,1/2,400
GU,CHIMANZOR,600,1/2,400
GW,SHIRVANSHAX NEW,420,1/2,400
GY,CUKMA,1000,1/2,1000
GZ,BAMBUK,750,1/2,480
HA,SUPER YAQUT,520,1/2,480
HB,RODIN,850,1/2,480
HC,ARABIK,780,1/2,480
HD,RUZGAR,650,1/2,480
HE,REFLEKS,550,1/2,400
HG,ELEGANT,650,1/1,480
HH,ALTIN YILDIZ,260,1/2,320
HI,BAKU,300,1/2,320
HJ,QALA,250,1/2,320
HK,MICRO SHAGGY,220,1/2,160
