data,zavod,tip_niti,raskhod_kg
2022-12-01,ANTP,J10/1LBS,-184603.3299999991
2022-12-01,ANTP,J12/2LBS,-47281.06999999993
2022-12-01,ANTP,J13/2LBS,-17784.27999999995
2022-12-01,ANTP,J16/1LBS,-134747.09999999992
2022-12-01,ANTP,J8/1LBS,0.0
2023-01-01,ANTP,J10/1LBS,-184105.2500000003
2023-01-01,ANTP,J12/2LBS,-37213.109999999935
2023-01-01,ANTP,J13/2LBS,-21910.420000000042
2023-01-01,ANTP,J16/1LBS,-90922.3960000005
2023-01-01,ANTP,J8/1LBS,0.0
2023-02-01,ANTP,J10/1LBS,-179630.1000000014
2023-02-01,ANTP,J12/2LBS,-54909.340000000026
2023-02-01,ANTP,J13/2LBS,-17479.999999999993
2023-02-01,ANTP,J16/1LBS,-98559.80399999961
2023-02-01,ANTP,J8/1LBS,-2707.7599999999998
2023-03-01,ANTP,J10/1LBS,-188911.332999999
2023-03-01,ANTP,J12/2LBS,-50515.85999999984
2023-03-01,ANTP,J13/2LBS,-37558.83599999995
2023-03-01,ANTP,J16/1LBS,-70343.79099999981
2023-03-01,ANTP,J8/1LBS,-3660.285999999992
2023-04-01,ANTP,J10/1LBS,-179556.9479999999
2023-04-01,ANTP,J12/2LBS,-61868.51999999966
2023-04-01,ANTP,J13/2LBS,-47356.16400000014
2023-04-01,ANTP,J16/1LBS,-46390.63299999995
2023-04-01,ANTP,J8/1LBS,-6611.954000000007
2023-05-01,ANTP,J10/1LBS,-217792.6390000004
2023-05-01,ANTP,J12/2LBS,-45137.409999999974
2023-05-01,ANTP,J13/2LBS,-9934.000000000005
2023-05-01,ANTP,J16/1LBS,-136660.03600000133
2023-05-01,ANTP,J8/1LBS,-220.0000000000001
2023-06-01,ANTP,J10/1LBS,-184457.78400000112
2023-06-01,ANTP,J12/2LBS,-52451.18000000003
2023-06-01,ANTP,J13/2LBS,-240.0
2023-06-01,ANTP,J16/1LBS,-151530.74600000045
2023-06-01,ANTP,J8/1LBS,0.0
2023-07-01,ANTP,J10/1LBS,-190075.18000000095
2023-07-01,ANTP,J12/2LBS,-47474.11700000024
2023-07-01,ANTP,J13/2LBS,-27612.999999999964
2023-07-01,ANTP,J16/1LBS,-131778.5939999996
2023-07-01,ANTP,J8/1LBS,0.0
2023-08-01,ANTP,J10/1LBS,-192721.71200000105
2023-08-01,ANTP,J12/2LBS,-44278.33899999994
2023-08-01,ANTP,J13/2LBS,-58342.86800000046
2023-08-01,ANTP,J16/1LBS,-114610.47600000065
2023-08-01,ANTP,J8/1LBS,0.0
2023-09-01,ANTP,J10/1LBS,-166398.2059999977
2023-09-01,ANTP,J12/2LBS,-54985.356999999836
2023-09-01,ANTP,J13/2LBS,-39306.6260000001
2023-09-01,ANTP,J16/1LBS,-118232.0980000004
2023-09-01,ANTP,J8/1LBS,0.0
2023-10-01,ANTP,J10/1LBS,-191851.68299999984
2023-10-01,ANTP,J12/2LBS,-62860.45599999974
2023-10-01,ANTP,J13/2LBS,-31450.346999999918
2023-10-01,ANTP,J16/1LBS,-128781.62400000068
2023-10-01,ANTP,J8/1LBS,0.0
2023-11-01,ANTP,J10/1LBS,-167565.11999999802
2023-11-01,ANTP,J12/2LBS,-48619.22599999996
2023-11-01,ANTP,J13/2LBS,-22067.212000000396
2023-11-01,ANTP,J16/1LBS,-144823.27399999963
2023-11-01,ANTP,J8/1LBS,0.0
2023-12-01,ANTP,J10/1LBS,-184972.0180000012
2023-12-01,ANTP,J12/2LBS,-77336.72800000037
2023-12-01,ANTP,J13/2LBS,-18114.286000000055
2023-12-01,ANTP,J16/1LBS,-121209.33399999932
2023-12-01,ANTP,J8/1LBS,0.0
2024-01-01,ANTP,J10/1LBS,-145802.92499999993
2024-01-01,ANTP,J12/2LBS,-48926.44399999997
2024-01-01,ANTP,J13/2LBS,-56319.9459999994
2024-01-01,ANTP,J16/1LBS,-137133.61599999954
2024-01-01,ANTP,J8/1LBS,-1653.8590000000004
2024-02-01,ANTP,J10/1LBS,-158033.36299999995
2024-02-01,ANTP,J12/2LBS,-39350.44999999992
2024-02-01,ANTP,J13/2LBS,-36786.28499999989
2024-02-01,ANTP,J16/1LBS,-160462.4290000003
2024-02-01,ANTP,J8/1LBS,-1120.565
2024-03-01,ANTP,J10/1LBS,-171372.19199999946
2024-03-01,ANTP,J12/2LBS,-40620.02099999991
2024-03-01,ANTP,J13/2LBS,-27688.592000000153
2024-03-01,ANTP,J16/1LBS,-172809.37399999987
2024-03-01,ANTP,J8/1LBS,0.0
2024-04-01,ANTP,J10/1LBS,-170360.8900000022
2024-04-01,ANTP,J12/2LBS,-49214.012999999955
2024-04-01,ANTP,J13/2LBS,-9775.286999999993
2024-04-01,ANTP,J16/1LBS,-141875.89699999953
2024-04-01,ANTP,J8/1LBS,0.0
2024-05-01,ANTP,J10/1LBS,-158751.23899999875
2024-05-01,ANTP,J12/2LBS,-41733.683999999856
2024-05-01,ANTP,J13/2LBS,-5884.499999999997
2024-05-01,ANTP,J16/1LBS,-196307.6479999986
2024-05-01,ANTP,J8/1LBS,-1756.2189999999998
2024-06-01,ANTP,J10/1LBS,-154492.71399999922
2024-06-01,ANTP,J12/2LBS,-56757.48799999997
2024-06-01,ANTP,J13/2LBS,-8461.567000000034
2024-06-01,ANTP,J16/1LBS,-105922.70500000025
2024-06-01,ANTP,J8/1LBS,0.0
2024-07-01,ANTP,J10/1LBS,-176406.38199999824
2024-07-01,ANTP,J12/2LBS,-47287.022999999994
2024-07-01,ANTP,J13/2LBS,-36500.38699999999
2024-07-01,ANTP,J16/1LBS,-117841.19900000062
2024-07-01,ANTP,J8/1LBS,0.0
2024-08-01,ANTP,J10/1LBS,-192244.26100000073
2024-08-01,ANTP,J12/2LBS,-57748.35799999971
2024-08-01,ANTP,J13/2LBS,-24951.646000000033
2024-08-01,ANTP,J16/1LBS,-111825.68200000028
2024-08-01,ANTP,J8/1LBS,0.0
2024-08-01,XIVA,J10/1LBS,-74734.08500000053
2024-08-01,XIVA,J12/2LBS,0.0
2024-08-01,XIVA,J13/2LBS,-233321.7470000009
2024-08-01,XIVA,J16/1LBS,-57774.48099999998
2024-08-01,XIVA,J8/1LBS,0.0
2024-09-01,ANTP,J10/1LBS,-177974.14599999823
2024-09-01,ANTP,J12/2LBS,-94304.70600000034
2024-09-01,ANTP,J13/2LBS,-40179.37000000003
2024-09-01,ANTP,J16/1LBS,-87165.94500000012
2024-09-01,ANTP,J8/1LBS,0.0
2024-09-01,XIVA,J10/1LBS,-68580.50400000013
2024-09-01,XIVA,J12/2LBS,0.0
2024-09-01,XIVA,J13/2LBS,-182265.01000000036
2024-09-01,XIVA,J16/1LBS,-88230.41000000121
2024-09-01,XIVA,J8/1LBS,0.0
2024-10-01,ANTP,J10/1LBS,-150160.61000000054
2024-10-01,ANTP,J12/2LBS,-44870.96299999999
2024-10-01,ANTP,J13/2LBS,-12803.484999999995
2024-10-01,ANTP,J16/1LBS,-146885.11400000058
2024-10-01,ANTP,J8/1LBS,0.0
2024-10-01,XIVA,J10/1LBS,-71136.83200000026
2024-10-01,XIVA,J12/2LBS,0.0
2024-10-01,XIVA,J13/2LBS,-101315.81399999972
2024-10-01,XIVA,J16/1LBS,-84896.4779999996
2024-10-01,XIVA,J8/1LBS,0.0
2024-11-01,ANTP,J10/1LBS,-166840.46999999977
2024-11-01,ANTP,J12/2LBS,-9941.038999999995
2024-11-01,ANTP,J13/2LBS,-35410.061
2024-11-01,ANTP,J16/1LBS,-131323.83100000047
2024-11-01,ANTP,J8/1LBS,0.0
2024-11-01,XIVA,J10/1LBS,-66701.44900000027
2024-11-01,XIVA,J12/2LBS,0.0
2024-11-01,XIVA,J13/2LBS,-36246.301999999974
2024-11-01,XIVA,J16/1LBS,-79646.09300000031
2024-11-01,XIVA,J8/1LBS,0.0
2024-12-01,ANTP,J10/1LBS,-133029.68500000035
2024-12-01,ANTP,J12/2LBS,-7705.622999999992
2024-12-01,ANTP,J13/2LBS,-53907.82600000009
2024-12-01,ANTP,J16/1LBS,-121350.79300000031
2024-12-01,ANTP,J8/1LBS,0.0
2024-12-01,XIVA,J10/1LBS,-62542.469000000034
2024-12-01,XIVA,J12/2LBS,0.0
2024-12-01,XIVA,J13/2LBS,-50258.36099999987
2024-12-01,XIVA,J16/1LBS,-79924.179
2024-12-01,XIVA,J8/1LBS,0.0
2025-01-01,ANTP,J10/1LBS,-119632.29100000075
2025-01-01,ANTP,J12/2LBS,0.0
2025-01-01,ANTP,J13/2LBS,-57259.992000000086
2025-01-01,ANTP,J16/1LBS,-124892.51500000004
2025-01-01,ANTP,J8/1LBS,0.0
2025-01-01,XIVA,J10/1LBS,-54130.27099999986
2025-01-01,XIVA,J12/2LBS,-775.5
2025-01-01,XIVA,J13/2LBS,-50740.252999999895
2025-01-01,XIVA,J16/1LBS,-71401.58499999995
2025-01-01,XIVA,J8/1LBS,0.0
2025-02-01,ANTP,J10/1LBS,-117125.12899999984
2025-02-01,ANTP,J12/2LBS,-4778.011000000001
2025-02-01,ANTP,J13/2LBS,-29700.97200000006
2025-02-01,ANTP,J16/1LBS,-119415.60500000056
2025-02-01,ANTP,J8/1LBS,0.0
2025-02-01,XIVA,J10/1LBS,-58796.240999999674
2025-02-01,XIVA,J12/2LBS,-10.19
2025-02-01,XIVA,J13/2LBS,-60673.06099999991
2025-02-01,XIVA,J16/1LBS,-48726.74400000009
2025-02-01,XIVA,J8/1LBS,0.0
2025-03-01,ANTP,J10/1LBS,-132635.2670000001
2025-03-01,ANTP,J12/2LBS,0.0
2025-03-01,ANTP,J13/2LBS,-19637.596999999987
2025-03-01,ANTP,J16/1LBS,-139608.06700000094
2025-03-01,ANTP,J8/1LBS,0.0
2025-03-01,XIVA,J10/1LBS,-56020.41399999974
2025-03-01,XIVA,J12/2LBS,0.0
2025-03-01,XIVA,J13/2LBS,-55749.349999999926
2025-03-01,XIVA,J16/1LBS,-55119.13299999989
2025-03-01,XIVA,J8/1LBS,0.0
2025-04-01,ANTP,J10/1LBS,-117125.12899999984
2025-04-01,ANTP,J12/2LBS,-4778.011000000001
2025-04-01,ANTP,J13/2LBS,-29700.97200000006
2025-04-01,ANTP,J16/1LBS,-119415.60500000056
2025-04-01,ANTP,J8/1LBS,0.0
2025-04-01,XIVA,J10/1LBS,-55568.25000000036
2025-04-01,XIVA,J12/2LBS,0.0
2025-04-01,XIVA,J13/2LBS,-58293.080000000235
2025-04-01,XIVA,J16/1LBS,-66699.85000000022
2025-04-01,XIVA,J8/1LBS,0.0
2025-05-01,ANTP,J10/1LBS,-108413.31100000055
2025-05-01,ANTP,J12/2LBS,-15070.07299999991
2025-05-01,ANTP,J13/2LBS,-19639.98499999997
2025-05-01,ANTP,J16/1LBS,-179419.5830000006
2025-05-01,ANTP,J8/1LBS,0.0
2025-05-01,XIVA,J10/1LBS,-57420.7010000004
2025-05-01,XIVA,J12/2LBS,0.0
2025-05-01,XIVA,J13/2LBS,-63813.14399999998
2025-05-01,XIVA,J16/1LBS,-64040.31200000013
2025-05-01,XIVA,J8/1LBS,0.0
2025-06-01,ANTP,J10/1LBS,-118356.50900000065
2025-06-01,ANTP,J12/2LBS,-37199.80899999998
2025-06-01,ANTP,J13/2LBS,0.0
2025-06-01,ANTP,J16/1LBS,-78203.29299999974
2025-06-01,ANTP,J8/1LBS,0.0
2025-06-01,XIVA,J10/1LBS,-39471.36800000002
2025-06-01,XIVA,J12/2LBS,0.0
2025-06-01,XIVA,J13/2LBS,-57124.03399999995
2025-06-01,XIVA,J16/1LBS,-66831.09799999952
2025-06-01,XIVA,J8/1LBS,0.0
2025-07-01,ANTP,J10/1LBS,-62543.813000000286
2025-07-01,ANTP,J12/2LBS,-13083.762000000008
2025-07-01,ANTP,J13/2LBS,0.0
2025-07-01,ANTP,J16/1LBS,-189332.2780000006
2025-07-01,ANTP,J8/1LBS,0.0
2025-07-01,XIVA,J10/1LBS,-12669.854999999983
2025-07-01,XIVA,J12/2LBS,0.0
2025-07-01,XIVA,J13/2LBS,-102034.4559999996
2025-07-01,XIVA,J16/1LBS,-56719.8959999999
2025-07-01,XIVA,J8/1LBS,0.0
2025-08-01,ANTP,J10/1LBS,-153544.11700000116
2025-08-01,ANTP,J12/2LBS,-33999.09899999996
2025-08-01,ANTP,J13/2LBS,0.0
2025-08-01,ANTP,J16/1LBS,-46775.72000000006
2025-08-01,ANTP,J8/1LBS,0.0
2025-08-01,XIVA,J10/1LBS,-39678.71500000005
2025-08-01,XIVA,J12/2LBS,0.0
2025-08-01,XIVA,J13/2LBS,-99601.08400000034
2025-08-01,XIVA,J16/1LBS,-60793.71800000005
2025-08-01,XIVA,J8/1LBS,0.0
2025-09-01,ANTP,J10/1LBS,-165088.72099999862
2025-09-01,ANTP,J12/2LBS,-32376.65299999998
2025-09-01,ANTP,J13/2LBS,0.0
2025-09-01,ANTP,J16/1LBS,-59891.33999999999
2025-09-01,ANTP,J8/1LBS,0.0
2025-09-01,XIVA,J10/1LBS,-77951.98500000029
2025-09-01,XIVA,J12/2LBS,0.0
2025-09-01,XIVA,J13/2LBS,-82524.799
2025-09-01,XIVA,J16/1LBS,-62956.3350000001
2025-09-01,XIVA,J8/1LBS,0.0
2025-10-01,ANTP,J10/1LBS,-176957.10399999996
2025-10-01,ANTP,J12/2LBS,-22381.274999999943
2025-10-01,ANTP,J13/2LBS,0.0
2025-10-01,ANTP,J16/1LBS,-71598.94699999983
2025-10-01,ANTP,J8/1LBS,0.0
2025-10-01,XIVA,J10/1LBS,-73418.31500000042
2025-10-01,XIVA,J12/2LBS,0.0
2025-10-01,XIVA,J13/2LBS,-53414.47600000013
2025-10-01,XIVA,J16/1LBS,-89099.02699999933
2025-10-01,XIVA,J8/1LBS,0.0
