Серия,Имя коллекции,Имя коллекции.1,Бедро,Размер,Ширина,Длина,Тип изделия,Цвет,ID (на сайте),Склад,Склад.1,Себестоимость,Начальный остаток,Приход,Расход,Конечный остаток,Начальный остаток м2,Приход м2,Расход м2,Конечный остаток м2
23555,DIADORA_B,DIADORA,40,250X350,250,350,Прямоугольник,99,#Н9999_BB99_021,Magazin Jomboy,Магазин Жомбой,43.75,1.0,,,1.0,8.75,,,8.75
23554,DIADORA_B,DIADORA,40,250X250,250,250,Прямоугольник,99,#Н9999_BB99_180,Magazin Jomboy,Магазин Жомбой,125.0,4.0,,,4.0,25.0,,,25.0
12719,MODERN_K,MODERN,32,100X10000,100,10000,Метражный,99,0_0K_YYY,SamExpress1,Магазин Самарканд,45.44,5.68,,,5.68,5.68,,,5.68
12719,MODERN_K,MODERN,32,100X10000,100,10000,Метражный,99,0_0K_YYY,SamExpress2,Магазин Самарканд,324.32,40.54,,,40.54,40.54,,,40.54
22970,MODERN_K,MODERN,32,100X10000,100,10000,Метражный,99,0_0KK_YYY,Magazin Xiva,Магазин Хива,6.56,0.82,,,0.82,0.82,,,0.82
23720,MODERN_K,MODERN,32,100X10000,100,10000,Метражный,99,0_0KK_YYY,Magazin Jomboy,Магазин Жомбой,,48.1,,,48.1,48.1,,,48.1
7075,MODERN_K,MODERN,32,100X10000,100,10000,Метражный,99,0_0KK_YYY,SamExpress1,Магазин Самарканд,756.03,94.504,,,94.504,94.504,,,94.504
8904,MODERN_K,MODERN,32,100X10000,100,10000,Метражный,99,0_0KK_YYY,Magazin Jizzax,Магазин Жиззах,1500.63,187.579,,,187.579,187.579,,,187.579
9387,MODERN_K,MODERN,32,100X10000,100,10000,Метражный,99,0_0KK_YYY,Magazin Termiz,Магазин Термез,747.4,93.425,,,93.425,93.425,,,93.425
19378,MODERN_K,MODERN,32,100X10000,100,10000,Метражный,99,00_00KK_YYY,SamExpress Gelion,Магазин Самарканд (Гелион),213.88,26.735,,,26.735,26.735,,,26.735
20298,MODERN_K,MODERN,32,100X10000,100,10000,Метражный,99,00_00KK_YYY,Magazin Nukus,Магазин Нукус,422.72,52.84,,,52.84,52.84,,,52.84
12186546,MODERN_M,MODERN,32,250X500,250,500,Прямоугольник,52,005501_MM52_024,SamExpress2,Магазин Самарканд (Ярмарка),87.5,1.0,,,1.0,12.5,,,12.5
11951301,MODERN_M,MODERN,32,200X300,200,300,Прямоугольник,52,005501_MM52_028,SamExpress2,Магазин Самарканд (Ярмарка),42.0,1.0,,,1.0,6.0,,,6.0
11941524,MODERN_M,MODERN,32,250X350,250,350,Овал,65,005502_MM65_063,SamExpress2,Магазин Самарканд (Ярмарка),61.25,1.0,,,1.0,8.75,,,8.75
12115838,MODERN_M,MODERN,32,250X350,250,350,Овал,65,005502_MM65_063,SamExpress2,Магазин Самарканд (Ярмарка),61.25,1.0,,,1.0,8.75,,,8.75
12125123,MODERN_M,MODERN,32,250X350,250,350,Овал,65,005502_MM65_063,SamExpress2,Магазин Самарканд (Ярмарка),61.25,1.0,,,1.0,8.75,,,8.75
12125178,MODERN_M,MODERN,32,250X350,250,350,Овал,65,005502_MM65_063,SamExpress2,Магазин Самарканд (Ярмарка),61.25,1.0,,,1.0,8.75,,,8.75
11967393,MODERN_M,MODERN,32,300X300,300,300,Овал,65,005502_MM65_119,SamExpress2,Магазин Самарканд (Ярмарка),63.0,1.0,,,1.0,9.0,,,9.0
