data,zavod,stanok,pikseli
2024-01-01 00:00:00,ANTP,T01,3211482
2024-01-01 00:00:00,ANTP,T02,2549945
2024-01-01 00:00:00,ANTP,T03,4012310
2024-01-01 00:00:00,ANTP,T04,2630935
2024-01-01 00:00:00,ANTP,T05,3217110
2024-01-01 00:00:00,ANTP,T06,4267724
2024-01-01 00:00:00,ANTP,T07,2357677
2024-01-01 00:00:00,ANTP,T08,4764999
2024-01-01 00:00:00,ANTP,T09,3595585
2024-01-01 00:00:00,ANTP,T10,4112357
2024-01-01 00:00:00,ANTP,T11,3113383
2024-01-01 00:00:00,ANTP,T12,3089700
2024-01-01 00:00:00,ANTP,T13,799538
2024-01-01 00:00:00,ANTP,T14,2488082
2024-01-01 00:00:00,ANTP,T15,3137157
2024-01-01 00:00:00,ANTP,T16,1679710
2024-01-01 00:00:00,ANTP,T17,3464430
2024-01-01 00:00:00,ANTP,T18,2018079
2024-01-01 00:00:00,ANTP,T19,4126448
2024-01-01 00:00:00,ANTP,T20,1359389
2024-01-01 00:00:00,ANTP,T21,3163587
2024-01-01 00:00:00,ANTP,T22,4563418
2024-01-01 00:00:00,ANTP,T23,3049876
2024-01-01 00:00:00,ANTP,T24,2399696
2024-01-01 00:00:00,ANTP,T25,2092557
2024-01-01 00:00:00,ANTP,T26,1772560
2024-01-01 00:00:00,ANTP,T27,0
2024-01-01 00:00:00,ANTP,T28,4349349
2024-01-01 00:00:00,ANTP,T29,2406326
2024-01-01 00:00:00,ANTP,T30,2137360
2024-01-01 00:00:00,ANTP,T31,3378005
2024-01-01 00:00:00,ANTP,T32,3001508
2024-01-01 00:00:00,ANTP,T33,3506658
2024-01-01 00:00:00,ANTP,T34,401083
2024-01-01 00:00:00,ANTP,T35,0
2024-01-01 00:00:00,XIVA,T01,2679896
2024-01-01 00:00:00,XIVA,T02,3107443
2024-01-01 00:00:00,XIVA,T03,2802295
2024-01-01 00:00:00,XIVA,T04,3496135
2024-01-01 00:00:00,XIVA,T05,3456007
2024-01-01 00:00:00,XIVA,T06,2677177
2024-01-01 00:00:00,XIVA,T07,2477674
2024-01-01 00:00:00,XIVA,T08,3804330
2024-01-01 00:00:00,XIVA,T09,3778525
2024-01-01 00:00:00,XIVA,T10,3833834
2024-01-01 00:00:00,XIVA,T11,3366309
2024-01-01 00:00:00,XIVA,T12,4044937
2024-01-01 00:00:00,XIVA,T13,3207345
2024-01-01 00:00:00,XIVA,T14,3590385
2024-01-01 00:00:00,XIVA,T15,5053183
2024-01-01 00:00:00,XIVA,T16,0
2024-01-01 00:00:00,XIVA,T17,0
2024-01-01 00:00:00,XIVA,T18,0
2024-01-01 00:00:00,XIVA,T19,0
2024-02-01 00:00:00,ANTP,T01,3622249
2024-02-01 00:00:00,ANTP,T02,3873018
2024-02-01 00:00:00,ANTP,T03,2555918
2024-02-01 00:00:00,ANTP,T04,2542550
2024-02-01 00:00:00,ANTP,T05,2811540
2024-02-01 00:00:00,ANTP,T06,3648717
2024-02-01 00:00:00,ANTP,T07,2636000
2024-02-01 00:00:00,ANTP,T08,4725516
2024-02-01 00:00:00,ANTP,T09,3231659
2024-02-01 00:00:00,ANTP,T10,3099132
2024-02-01 00:00:00,ANTP,T11,3307960
2024-02-01 00:00:00,ANTP,T12,2857957
2024-02-01 00:00:00,ANTP,T13,283675
2024-02-01 00:00:00,ANTP,T14,2415541
2024-02-01 00:00:00,ANTP,T15,2870884
2024-02-01 00:00:00,ANTP,T16,2462248
2024-02-01 00:00:00,ANTP,T17,3104201
2024-02-01 00:00:00,ANTP,T18,2042491
2024-02-01 00:00:00,ANTP,T19,3675711
2024-02-01 00:00:00,ANTP,T20,3310732
2024-02-01 00:00:00,ANTP,T21,3314217
2024-02-01 00:00:00,ANTP,T22,4000947
2024-02-01 00:00:00,ANTP,T23,2950572
2024-02-01 00:00:00,ANTP,T24,2335730
2024-02-01 00:00:00,ANTP,T25,2296057
2024-02-01 00:00:00,ANTP,T26,1820794
2024-02-01 00:00:00,ANTP,T27,0
2024-02-01 00:00:00,ANTP,T28,4564287
2024-02-01 00:00:00,ANTP,T29,1746844
2024-02-01 00:00:00,ANTP,T30,2018395
2024-02-01 00:00:00,ANTP,T31,3207600
2024-02-01 00:00:00,ANTP,T32,3232833
2024-02-01 00:00:00,ANTP,T33,3482768
2024-02-01 00:00:00,ANTP,T34,1940595
2024-02-01 00:00:00,ANTP,T35,485709
2024-02-01 00:00:00,XIVA,T01,2762820
2024-02-01 00:00:00,XIVA,T02,3071662
2024-02-01 00:00:00,XIVA,T03,3312193
2024-02-01 00:00:00,XIVA,T04,3353409
2024-02-01 00:00:00,XIVA,T05,3210955
2024-02-01 00:00:00,XIVA,T06,2530336
2024-02-01 00:00:00,XIVA,T07,2414975
2024-02-01 00:00:00,XIVA,T08,3668319
2024-02-01 00:00:00,XIVA,T09,3334527
2024-02-01 00:00:00,XIVA,T10,3949144
2024-02-01 00:00:00,XIVA,T11,3481928
2024-02-01 00:00:00,XIVA,T12,4033727
2024-02-01 00:00:00,XIVA,T13,2277077
2024-02-01 00:00:00,XIVA,T14,3453658
2024-02-01 00:00:00,XIVA,T15,4749741
2024-02-01 00:00:00,XIVA,T16,0
2024-02-01 00:00:00,XIVA,T17,0
2024-02-01 00:00:00,XIVA,T18,0
2024-02-01 00:00:00,XIVA,T19,0
2024-03-01 00:00:00,ANTP,T01,3607767
2024-03-01 00:00:00,ANTP,T02,4256433
2024-03-01 00:00:00,ANTP,T03,3851543
2024-03-01 00:00:00,ANTP,T04,2745221
2024-03-01 00:00:00,ANTP,T05,2890772
2024-03-01 00:00:00,ANTP,T06,3781018
2024-03-01 00:00:00,ANTP,T07,2805400
2024-03-01 00:00:00,ANTP,T08,4934560
2024-03-01 00:00:00,ANTP,T09,3945212
2024-03-01 00:00:00,ANTP,T10,4309874
2024-03-01 00:00:00,ANTP,T11,3874600
2024-03-01 00:00:00,ANTP,T12,1807902
2024-03-01 00:00:00,ANTP,T13,758284
2024-03-01 00:00:00,ANTP,T14,3026752
2024-03-01 00:00:00,ANTP,T15,3195600
2024-03-01 00:00:00,ANTP,T16,2416393
2024-03-01 00:00:00,ANTP,T17,3911908
2024-03-01 00:00:00,ANTP,T18,1502273
2024-03-01 00:00:00,ANTP,T19,3598794
2024-03-01 00:00:00,ANTP,T20,4231182
2024-03-01 00:00:00,ANTP,T21,3222348
2024-03-01 00:00:00,ANTP,T22,4578435
2024-03-01 00:00:00,ANTP,T23,2029615
2024-03-01 00:00:00,ANTP,T24,2670538
2024-03-01 00:00:00,ANTP,T25,2779376
2024-03-01 00:00:00,ANTP,T26,1444493
2024-03-01 00:00:00,ANTP,T27,0
2024-03-01 00:00:00,ANTP,T28,4319234
2024-03-01 00:00:00,ANTP,T29,2423606
2024-03-01 00:00:00,ANTP,T30,1762634
2024-03-01 00:00:00,ANTP,T31,4202563
2024-03-01 00:00:00,ANTP,T32,3699200
2024-03-01 00:00:00,ANTP,T33,3406900
2024-03-01 00:00:00,ANTP,T34,2282710
2024-03-01 00:00:00,ANTP,T35,2605759
2024-03-01 00:00:00,XIVA,T01,2896438
2024-03-01 00:00:00,XIVA,T02,3429978
2024-03-01 00:00:00,XIVA,T03,3425960
2024-03-01 00:00:00,XIVA,T04,3460143
2024-03-01 00:00:00,XIVA,T05,3360587
2024-03-01 00:00:00,XIVA,T06,2875134
2024-03-01 00:00:00,XIVA,T07,2758591
2024-03-01 00:00:00,XIVA,T08,4169892
2024-03-01 00:00:00,XIVA,T09,3962938
2024-03-01 00:00:00,XIVA,T10,4341094
2024-03-01 00:00:00,XIVA,T11,3663057
2024-03-01 00:00:00,XIVA,T12,4226255
2024-03-01 00:00:00,XIVA,T13,2652605
2024-03-01 00:00:00,XIVA,T14,3709441
2024-03-01 00:00:00,XIVA,T15,5142914
2024-03-01 00:00:00,XIVA,T16,0
2024-03-01 00:00:00,XIVA,T17,0
2024-03-01 00:00:00,XIVA,T18,0
2024-03-01 00:00:00,XIVA,T19,0
2024-04-01 00:00:00,ANTP,T01,2609963
2024-04-01 00:00:00,ANTP,T02,3923425
2024-04-01 00:00:00,ANTP,T03,3810322
2024-04-01 00:00:00,ANTP,T04,2152135
2024-04-01 00:00:00,ANTP,T05,3164519
2024-04-01 00:00:00,ANTP,T06,3982309
2024-04-01 00:00:00,ANTP,T07,589800
2024-04-01 00:00:00,ANTP,T08,4492159
2024-04-01 00:00:00,ANTP,T09,3222308
2024-04-01 00:00:00,ANTP,T10,3657599
2024-04-01 00:00:00,ANTP,T11,2903600
2024-04-01 00:00:00,ANTP,T12,496047
2024-04-01 00:00:00,ANTP,T13,1090126
2024-04-01 00:00:00,ANTP,T14,3308877
2024-04-01 00:00:00,ANTP,T15,3579598
2024-04-01 00:00:00,ANTP,T16,2724174
2024-04-01 00:00:00,ANTP,T17,3359947
2024-04-01 00:00:00,ANTP,T18,1765772
2024-04-01 00:00:00,ANTP,T19,3080825
2024-04-01 00:00:00,ANTP,T20,3340409
2024-04-01 00:00:00,ANTP,T21,2878044
2024-04-01 00:00:00,ANTP,T22,4853068
2024-04-01 00:00:00,ANTP,T23,375594
2024-04-01 00:00:00,ANTP,T24,1982924
2024-04-01 00:00:00,ANTP,T25,2246785
