Завод,Бердо,Месяц,м2,Год
ANTP,32,Январь,436849.2360000001,2025
ANTP,40,Январь,192803.13099999996,2025
ANTP,48,Январь,106171.03399999999,2025
ANTP,70,Январь,17017.450000000004,2025
ANTP,120,Январь,15607.075,2025
ANTP,150,Январь,2926.793000000001,2025
XIVA,32,Январь,565139.673,2025
XIVA,40,Январь,105341.8340000001,2025
ANTP,32,Февраль,371107.9160000001,2025
ANTP,40,Февраль,185739.82999999996,2025
ANTP,48,Февраль,112472.90200000005,2025
ANTP,70,Февраль,19605.191999999995,2025
ANTP,120,Февраль,18118.654999999995,2025
ANTP,150,Февраль,2928.3729999999996,2025
XIVA,32,Февраль,525815.8120000002,2025
XIVA,40,Февраль,110661.16,2025
ANTP,32,Март,388384.66400000016,2025
ANTP,40,Март,228125.88700000008,2025
ANTP,48,Март,121021.11,2025
ANTP,70,Март,20841.611999999997,2025
ANTP,120,Март,22851.830999999995,2025
ANTP,150,Март,5227.854000000002,2025
XIVA,32,Март,585291.7140000002,2025
XIVA,40,Март,109797.2120000001,2025
ANTP,32,Апрель,396111.57500000007,2025
ANTP,40,Апрель,229824.99899999998,2025
ANTP,48,Апрель,123120.07900000003,2025
ANTP,70,Апрель,18124.959000000003,2025
ANTP,120,Апрель,23636.066999999995,2025
ANTP,150,Апрель,4618.602,2025
XIVA,32,Апрель,613513.9070000002,2025
XIVA,40,Апрель,102333.75300000003,2025
ANTP,32,Май,317730.6800000001,2025
ANTP,40,Май,260261.15399999998,2025
ANTP,48,Май,126239.886,2025
ANTP,70,Май,15583.697999999995,2025
ANTP,120,Май,20774.345999999998,2025
ANTP,150,Май,4713.936,2025
XIVA,32,Май,631302.5140000002,2025
XIVA,40,Май,110827.32399999996,2025
ANTP,32,Июнь,257737.104,2025
ANTP,40,Июнь,234961.2600000003,2025
ANTP,48,Июнь,121569.79000000004,2025
ANTP,70,Июнь,12253.457999999999,2025
ANTP,120,Июнь,18928.871,2025
ANTP,150,Июнь,3284.0080000000003,2025
XIVA,32,Июнь,588544.5320000004,2025
XIVA,40,Июнь,84184.89400000006,2025
ANTP,32,Июль,279072.53,2025
ANTP,40,Июль,271221.78000000014,2025
ANTP,48,Июль,108774.01099999997,2025
ANTP,70,Июль,8596.069999999996,2025
ANTP,120,Июль,21078.408,2025
ANTP,150,Июль,4378.757,2025
XIVA,32,Июль,704995.9159999997,2025
XIVA,40,Июль,102238.826,2025
ANTP,32,Август,298903.69400000013,2025
ANTP,40,Август,292837.5150000001,2025
ANTP,48,Август,118024.49999999997,2025
ANTP,70,Август,13219.178000000002,2025
ANTP,120,Август,19110.320999999993,2025
ANTP,150,Август,5408.0160000000005,2025
XIVA,32,Август,653843.2350000002,2025
XIVA,40,Август,120180.53200000004,2025
ANTP,32,Сентябрь,275696.33800000005,2025
ANTP,40,Сентябрь,302811.21699999995,2025
ANTP,48,Сентябрь,116659.62100000004,2025
ANTP,70,Сентябрь,12936.15,2025
ANTP,120,Сентябрь,19952.995999999996,2025
ANTP,150,Сентябрь,4912.9580000000005,2025
XIVA,32,Сентябрь,646540.2529999998,2025
XIVA,40,Сентябрь,148877.27300000004,2025
ANTP,32,Октябрь,307707.8440000001,2025
ANTP,40,Октябрь,315745.7620000001,2025
ANTP,48,Октябрь,105549.19600000001,2025
ANTP,70,Октябрь,13743.346,2025
ANTP,120,Октябрь,24262.191,2025
ANTP,150,Октябрь,5220.571999999999,2025
XIVA,32,Октябрь,656265.1799999992,2025
XIVA,40,Октябрь,138134.75600000002,2025
