Материал,Качество,Название материала,Бердо,Плотность по утку,Склад,Завод,Вид движения,Партия,Количество,Базовая ЕИ,Дата проводки,Время ввода,Имя пользователя,Описание палитры,Вес план,Вес факт,Заказ,Номер линии,Номер станка
AH3203_CT13_021,AH,ALADDIN NEW 3203 CT13 250X350 R,32,400,7510,XIVA,101,52825,70.0,М2,2025-10-30,00:27:10,STOREKEEPER3,ALADDIN NEW,13.78,0,100001278143,22,T22
AH3203_CT13_022,AH,ALADDIN NEW 3203 CT13 250X400 R,32,400,7510,XIVA,101,52825,60.0,М2,2025-10-30,00:27:26,STOREKEEPER3,ALADDIN NEW,15.75,0,100001278144,22,T22
AH3203_CT13_024,AH,ALADDIN NEW 3203 CT13 250X500 R,32,400,7510,XIVA,101,52825,25.0,М2,2025-10-30,00:27:39,STOREKEEPER3,ALADDIN NEW,19.69,0,100001278145,22,T22
AH3203_CT13_028,AH,ALADDIN NEW 3203 CT13 200X300 R,32,400,7510,XIVA,101,52823,48.0,М2,2025-10-30,00:27:07,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278120,22,T22
AH3203_CT13_030,AH,ALADDIN NEW 3203 CT13 200X400 R,32,400,7510,XIVA,101,52823,16.0,М2,2025-10-30,00:27:23,STOREKEEPER3,ALADDIN NEW,12.6,0,100001278121,22,T22
AH3203_CT13_034,AH,ALADDIN NEW 3203 CT13 150X230 R,32,400,7510,XIVA,101,52823,20.7,М2,2025-10-30,00:27:51,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278123,22,T22
AH3203_CT23_008,AH,ALADDIN NEW 3203 CT23 350X400 R,32,400,7510,XIVA,101,52617,28.0,М2,2025-10-25,04:42:21,STOREKEEPER3,ALADDIN NEW,22.05,0,100001276465,22,T22
AH3203_CT23_009,AH,ALADDIN NEW 3203 CT23 350X500 R,32,400,7510,XIVA,101,52617,35.0,М2,2025-10-25,04:42:37,STOREKEEPER3,ALADDIN NEW,27.57,0,100001276466,22,T22
AH3203_CT23_010,AH,ALADDIN NEW 3203 CT23 350X600 R,32,400,7510,XIVA,101,52617,42.0,М2,2025-10-25,04:42:52,STOREKEEPER3,ALADDIN NEW,33.08,0,100001276467,22,T22
AH3203_CT23_011,AH,ALADDIN NEW 3203 CT23 350X700 R,32,400,7510,XIVA,101,52617,49.0,М2,2025-10-25,04:43:07,STOREKEEPER3,ALADDIN NEW,38.59,0,100001276468,22,T22
AH3203_CT23_012,AH,ALADDIN NEW 3203 CT23 350X800 R,32,400,7510,XIVA,101,52617,56.0,М2,2025-10-25,04:43:25,STOREKEEPER3,ALADDIN NEW,44.11,0,100001276469,22,T22
AH3203_CT23_021,AH,ALADDIN NEW 3203 CT23 250X350 R,32,400,7510,XIVA,101,52825,70.0,М2,2025-10-30,00:27:54,STOREKEEPER3,ALADDIN NEW,13.78,0,100001278146,22,T22
AH3203_CT23_022,AH,ALADDIN NEW 3203 CT23 250X400 R,32,400,7510,XIVA,101,52825,60.0,М2,2025-10-30,00:28:10,STOREKEEPER3,ALADDIN NEW,15.75,0,100001278147,22,T22
AH3203_CT23_024,AH,ALADDIN NEW 3203 CT23 250X500 R,32,400,7510,XIVA,101,52825,25.0,М2,2025-10-30,00:28:25,STOREKEEPER3,ALADDIN NEW,19.69,0,100001278148,22,T22
AH3203_CT23_028,AH,ALADDIN NEW 3203 CT23 200X300 R,32,400,7510,XIVA,101,52823,48.0,М2,2025-10-30,00:27:36,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278122,22,T22
AH3203_CT23_030,AH,ALADDIN NEW 3203 CT23 200X400 R,32,400,7510,XIVA,101,52824,16.0,М2,2025-10-30,00:27:10,STOREKEEPER3,ALADDIN NEW,12.6,0,100001278131,22,T22
AH3203_CT23_034,AH,ALADDIN NEW 3203 CT23 150X230 R,32,400,7510,XIVA,101,52823,20.7,М2,2025-10-30,00:28:07,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278124,22,T22
AH3203_CT33_008,AH,ALADDIN NEW 3203 CT33 350X400 R,32,400,7510,XIVA,101,52617,28.0,М2,2025-10-25,04:43:38,STOREKEEPER3,ALADDIN NEW,22.05,0,100001276470,22,T22
AH3203_CT33_009,AH,ALADDIN NEW 3203 CT33 350X500 R,32,400,7510,XIVA,101,52617,35.0,М2,2025-10-25,04:43:54,STOREKEEPER3,ALADDIN NEW,27.57,0,100001276471,22,T22
AH3203_CT33_010,AH,ALADDIN NEW 3203 CT33 350X600 R,32,400,7510,XIVA,101,52617,42.0,М2,2025-10-25,04:44:09,STOREKEEPER3,ALADDIN NEW,33.08,0,100001276473,22,T22
AH3203_CT33_011,AH,ALADDIN NEW 3203 CT33 350X700 R,32,400,7510,XIVA,101,52618,49.0,М2,2025-10-26,15:24:38,STOREKEEPER3,ALADDIN NEW,38.59,0,100001276489,22,T22
AH3203_CT33_012,AH,ALADDIN NEW 3203 CT33 350X800 R,32,400,7510,XIVA,101,52618,56.0,М2,2025-10-26,15:25:08,STOREKEEPER3,ALADDIN NEW,44.11,0,100001276491,22,T22
AH3203_CT33_021,AH,ALADDIN NEW 3203 CT33 250X350 R,32,400,7510,XIVA,101,52825,17.5,М2,2025-10-30,00:28:40,STOREKEEPER3,ALADDIN NEW,13.78,0,100001278149,22,T22
AH3203_CT33_022,AH,ALADDIN NEW 3203 CT33 250X400 R,32,400,7510,XIVA,101,52825,20.0,М2,2025-10-30,00:28:54,STOREKEEPER3,ALADDIN NEW,15.75,0,100001278150,22,T22
AH3203_CT33_028,AH,ALADDIN NEW 3203 CT33 200X300 R,32,400,7510,XIVA,101,52824,48.0,М2,2025-10-30,00:27:26,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278132,22,T22
AH3203_CT33_034,AH,ALADDIN NEW 3203 CT33 150X230 R,32,400,7510,XIVA,101,52823,20.7,М2,2025-10-30,00:28:22,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278125,22,T22
AH3203_CT83_028,AH,ALADDIN NEW 3203 CT83 200X300 R,32,400,7510,XIVA,101,52824,48.0,М2,2025-10-30,00:27:42,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278133,22,T22
AH3203_CT83_034,AH,ALADDIN NEW 3203 CT83 150X230 R,32,400,7510,XIVA,101,52823,20.7,М2,2025-10-30,00:28:37,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278126,22,T22
AH3207_CT13_028,AH,ALADDIN NEW 3207 CT13 200X300 R,32,400,7510,XIVA,101,52824,24.0,М2,2025-10-30,00:27:57,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278134,22,T22
AH3207_CT13_028,AH,ALADDIN NEW 3207 CT13 200X300 R,32,400,7510,XIVA,101,52826,24.0,М2,2025-10-29,21:23:15,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278153,22,T22
AH3207_CT13_034,AH,ALADDIN NEW 3207 CT13 150X230 R,32,400,7510,XIVA,101,52824,20.7,М2,2025-10-30,00:28:43,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278137,22,T22
AH3207_CT33_008,AH,ALADDIN NEW 3207 CT33 350X400 R,32,400,7510,XIVA,101,52618,28.0,М2,2025-10-26,15:24:53,STOREKEEPER3,ALADDIN NEW,22.05,0,100001276490,22,T22
AH3207_CT33_009,AH,ALADDIN NEW 3207 CT33 350X500 R,32,400,7510,XIVA,101,52618,35.0,М2,2025-10-26,15:25:23,STOREKEEPER3,ALADDIN NEW,27.57,0,100001276492,22,T22
